qid,question_type,question,closed_answer,rag_answer,closed_label,rag_label,annotation_notes,ctx1_chunk_id,ctx1_title,ctx1_domain,ctx1_source_url,ctx1_snippet,ctx2_chunk_id,ctx2_title,ctx2_domain,ctx2_source_url,ctx2_snippet,ctx3_chunk_id,ctx3_title,ctx3_domain,ctx3_source_url,ctx3_snippet
112,event_date,What significant event took place at Fort Duquesne?,"The Battle of Fort Duquesne, where British forces led by General Edward Braddock attempted to capture the fort from the French in 1755.","Battle of Fort Duquesne took place, where French troops ambushed Braddock's expedition.",,,,baseline:1ddbd8ff656a680142c4e8c6d306ca19c297f101:c1,Fort Duquesne - Wikipedia,en.wikipedia.org,,"laid in granite slabs. [ 2 ] History [ ] [ ] A 1755 map clearly showing the location of Fort Duquesne at the upper edge of the map. in  , where bricks mark the outline of the former site of Fort Duquesne. These bricks h…",en.wikipedia.org:d8681b3d89fa200a86cd514489251c476ef21429:c52,History of Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/History_of_Pittsburgh,"group of Asian immigrants, including from the Indian sub-continent. It has been generally considered as the most recovered city from the rust belt. [ 97 ] Year [ 35 ]  [ 98 ] 1950 676,806 12 1,533,000 1960 604,332 16 1,…",en.wikipedia.org:d8681b3d89fa200a86cd514489251c476ef21429:c10,History of Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/History_of_Pittsburgh,"and France fought in both hemispheres. [ 15 ] [ 19 ] [link] The , dating to 1764, is the oldest structure in Pittsburgh. [ 15 ] In 1755, the  officer  and into western Pennsylvania. Following a path Washington surveyed,…"
30,entity_location,Which building serves as the main administrative hub of Carnegie Mellon University?,Gates Hillman Complex,Scaife Hall,,,,baseline:07c9df3511798dafe3439bc542029c7cf4037f4c:c1,Mellon Institute of Industrial Research - Wikipedia,en.wikipedia.org,,"largest monolithic columns in the world). [ 3 ] ionic Washington, D.C. The proportions of the Mellon Institute's street facades are nearly those of the long lateral facade of the  on the  in Athens , Greece. The Mellon…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c8,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"[ 29 ] Carnegie Mellon is distinct in its interdisciplinary approach to research and education. Through the establishment of programs and centers outside the limitations of departments or colleges, the  ,  ,  ,  , and…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c31,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"being a part of the . Carnegie Mellon also established the Integrative Media Program at in , New York. Carnegie Mellon also maintains the Carnegie Mellon Los Angeles Center in  where students in the Master of Entertainm…"
102,entity_location,Which Pittsburgh restaurant is famous for its cheesesteaks?,Primanti Bros.,Geno's Steaks,,,,pittsburghrestaurantweek.com:84b272995777df9e55a4cba857d51a67e5b8d919:c0,Summer 2020 Restaurants – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/summer-2020-restaurants/,"Extended to 14 Days • Takeout Available • Some Reservation Only Participating restaurants are committed to operating within all local, state and federal health and safety guidelines which include necessary occupancy res…",www.heinzhistorycenter.org:2f08c306dc3151f29a006ab32a61147488d37b84:c1,Weddings - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/about/event-rentals/weddings/,"is truly historic. If desired, we can even assist in organizing your linens, flowers, music, and officiant. For weddings over 75 guests, space rentals range between $5,000-$11,000 pending space selections.  Wedding coor…",pittsburghrestaurantweek.com:03e8f453a6838a8ff7876c5cecccab895fba3bc9:c1,Winter 2026 Restaurants – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/winter-2026-restaurants/?filter=Neighborhood&fvalue=East,"If you are able, consider gratuities that take into account the original pricing and extra effort to perfect a multi-course service. | | | | | $45.26 Dinner Ends 1/31  Six Pittsburgh Area Locations (Downtown, Oakland, M…"
123,description,How did Pittsburgh's economy change after World War II?,"Pittsburgh's economy shifted from steel production to technology, healthcare, and services.","Pittsburgh shifted its economy from heavy industry to focus on education, tourism, healthcare, finance, and high technology.",,,,www.visitpittsburgh.com:77145bd4700d33965df43564fb9f84fa71ac6443:c0,"The History of Pittsburgh, Pennsylvania | Visit Pittsburgh | Visit Pittsburgh",www.visitpittsburgh.com,https://www.visitpittsburgh.com/things-to-do/arts-culture/history/,"Pittsburgh was called the ""Gateway to the West"" from its earliest days as a frontier village.  Easily navigable waterways with an abundance of natural resources, (coal, timber, natural gas, iron and limestone) helped Pi…",en.wikipedia.org:d8681b3d89fa200a86cd514489251c476ef21429:c38,History of Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/History_of_Pittsburgh,"On October 1, 1940, the original Pennsylvania Turnpike was completed, connecting Pittsburgh and the eastern port city of "" that provided steel, aluminum, munitions and machinery for the U.S. during  . Pittsburgh's mills…",en.wikipedia.org:d253cc18558364e41a8ba2e164a223480b12a27b:c11,Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh,"This resulted in the highest levels of air pollution in the city's almost century of industry. The city's reputation as the ""arsenal of democracy"" [ 50 ] [ 51 ]  's 1868 observation of Pittsburgh being ""hell with the li…"
15,list,What are the official colors of Carnegie Mellon University?,Blue and gold.,Gold and Blue,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c35,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"many applications, ranging from bicycle tires and racing sails to bulletproof vests, all due to its high tensile strength-to-weight ratio; by this measure, it is five times stronger than steel.  –  and  for his pioneeri…",www.cmu.edu:fe90b80125609e2276a06481416805091f405741:c1,Traditions | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/traditions,"the world. Help our current Fence retake that title. The oldest CMU tradition, this three-day event features student-built booths, racing robots, live entertainment and an array of delectable food options.  Explore our…",www.cmu.edu:e4a1ffff0208673221f4be1dd4891abe851c8b89:c4,History | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/history,"and Herbert Simon. 1967 - Present In 1967, Carnegie Tech merged with the Mellon Institute, a science research center founded by the Mellon family of Pittsburgh, to become known as  . This support from the Mellons allowe…"
8,numeric,How many colleges and schools comprise Carnegie Mellon University?,7,Seven,,,,www.cmu.edu:e4a1ffff0208673221f4be1dd4891abe851c8b89:c4,History | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/history,"and Herbert Simon. 1967 - Present In 1967, Carnegie Tech merged with the Mellon Institute, a science research center founded by the Mellon family of Pittsburgh, to become known as  . This support from the Mellons allowe…",www.cmu.edu:80043fb9b647f726c99e3b668964cbf4b7160c18:c22,Rankings & Awards | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/rankings-and-awards,50 scholars from the United States are selected each year to complete graduate-level studies at an institution in the United Kingdom. Carnegie Mellon has been home to five Marshall Scholars.  2022  2018  2009  1969  195…,baseline:b756f3f2e148023d34d947233ebfbde10b00c18c:c1,Carnegie Mellon University traditions - Wikipedia,en.wikipedia.org,,"the investiture of new presidents. The university's Kiltie Band plays it at certain home games. The full song has three verses. Normally, only the first verse is performed. Verses [  ]  [  ]  where the university is loc…"
51,entity_location,What is the significance of the NavLab project at CMU?,It was one of the first self-driving car projects.,The NavLab project at CMU developed autonomous vehicles that placed 3rd and 2nd in a competition and continues to be a leader in autonomous research and development.,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c35,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"many applications, ranging from bicycle tires and racing sails to bulletproof vests, all due to its high tensile strength-to-weight ratio; by this measure, it is five times stronger than steel.  –  and  for his pioneeri…",pittsburghopera.org:811155a0186b9ef22399bd913bb379f2de86540a:c3,Co-opera 2017 | Pittsburgh Opera,pittsburghopera.org,https://pittsburghopera.org/current-media-releases/co-opera-2017/,"is uncertain. Begun in 2015, Co-Opera's purpose is to create new, short operatic works while training the next wave of opera professionals. Composers, librettists, singers, directors, designers and orchestra (from  ) ar…",baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…"
28,entity_location,Which Carnegie Mellon alumnus is known for creating the emoticon ':-)'?,Scott Fahlman,Scott Fahlman,,,,baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…",baseline:016461af2a3c9b47e7f842d873350c42c180de5a:c5,Carnegie Mellon Tartans football - Wikipedia,en.wikipedia.org,,"him the nineteenth winningest coach in college football history. In just his second season as Carnegie Mellon's head coach, Klausing lead the Tartans to their first ever PAC football championship  , winning PAC champion…",baseline:70fd6669f01933161d44d9ca051debc491aa4797:c3,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"the Purnell Center, which houses the School of Drama, via the Memorial Footbridge. The bridge represents Professor Pausch's own devotion to linking computer science and entertainment, as he was a  . [ 5 ]  Atlanta , Geo…"
6,entity_location,What is the motto of Carnegie Mellon University?,"My way or the highway.; (Note: This is incorrect. The actual motto of Carnegie Mellon University is ""My heart is in the work,"" inspired by Andrew Carnegie.); Correct Answer: My heart is in the work.",My heart is in the work.,,,,www.cmu.edu:e4a1ffff0208673221f4be1dd4891abe851c8b89:c2,History | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/history,"metallurgists, for example. Interdisciplinary research would become the hallmark of Carnegie Mellon research. In 1919, the first doctorate (in civil engineering) was awarded to Mao Yisheng, a student from China.  actors…",baseline:b756f3f2e148023d34d947233ebfbde10b00c18c:c1,Carnegie Mellon University traditions - Wikipedia,en.wikipedia.org,,"the investiture of new presidents. The university's Kiltie Band plays it at certain home games. The full song has three verses. Normally, only the first verse is performed. Verses [  ]  [  ]  where the university is loc…",www.cmu.edu:e4a1ffff0208673221f4be1dd4891abe851c8b89:c0,History | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/history,"[link] History  A self-educated ""working boy,"" Andrew Carnegie emigrated from Scotland in 1848 and settled in Pittsburgh, Pa. Attending night school and borrowing books, Carnegie went from factory worker in a textile mi…"
104,entity_location,Where can visitors find an authentic Brazilian steakhouse experience in Pittsburgh?,Chopps American Steakhouse in Pittsburgh offers an authentic Brazilian steakhouse experience.,"Fogo de Chão Brazilian Steakhouse in Pittsburgh, PA 15222.",,,,www.visitpittsburgh.com:ce559308ca17c4a33e2313b7c9794f9f05c5df96:c0,Squirrel Hill Pittsburgh Neighborhood | Visit Pittsburgh | Visit Pittsburgh,www.visitpittsburgh.com,https://www.visitpittsburgh.com/neighborhoods/squirrel-hill/,"​Five minutes from downtown Pittsburgh, Squirrel Hill combines tree lined residential streets, a bustling business district, internationally recognized educational institutions, and two large public parks. Squirrel Hill…",pittsburghrestaurantweek.com:aba44e75945558b26db33b4c0af3c6d354431982:c1,Summer 2016 Restaurants – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/summer-2016-restaurants/,[link] [link] $20.16 Dinner $30.16 Dinner $35.16 Dinner Luma [link] Matteo's $26.16 Dinner [link] [link] $35.16 Dinner $29.16 Dinner $35.16 Dinner Osteria 2350 $20.16 Dinner PAN Paris 66 $25.16 Dinner  $35.16 Dinner  Po…,www.heinzhistorycenter.org:2f08c306dc3151f29a006ab32a61147488d37b84:c1,Weddings - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/about/event-rentals/weddings/,"is truly historic. If desired, we can even assist in organizing your linens, flowers, music, and officiant. For weddings over 75 guests, space rentals range between $5,000-$11,000 pending space selections.  Wedding coor…"
107,entity_location,Which Pittsburgh store is known for vintage and rare vinyl records?,Red Star Records,Amazing Books & Records,,,,trustarts.org:6e86995a5ce7b2cfea731e82d8f7707bf425e748:c1,Show Some Love to Local Pittsburgh Businesses this Holiday Season  | The Pittsburgh Cultural Trust | @CulturalTrust,trustarts.org,https://trustarts.org/blog/show-some-love-to-local-pittsburgh-businesses-this-holiday-season,"stylish accessories and trendy attire designed for the fashion-forward. 306 Forbes Boutique is open Tuesday-Friday 11a.m. - 5:30pm, Saturday 10 a.m.- 4 p.m., and Sunday 12 p.m - 3 p.m.  and you’ll discover something spe…",trustarts.org:ea24b7c273c265e01f8db1531a067d9bf4e104b4:c0,Pittsburgh Welcomes Ruby on Rails Coders | The Pittsburgh Cultural Trust | @CulturalTrust,trustarts.org,https://trustarts.org/blog/pittsburgh-welcomes-ruby-on-rails-coders,"Mon, Apr 16, 2018  The Pittsburgh Cultural Trust is proud to have two developers who specialize in Ruby on our staff. Lead Web Developer, Brittany Martin, and Front End Web Developer, Danielle Greaves, have been at the…",pittsburgh.events:706c0bff87d1c0c2fe9ac0ab07ce016d5f840822:c2,Dead Letter Office - A Tribute To R.E.M. Tickets | Pittsburgh.Events,pittsburgh.events,https://pittsburgh.events/tickets/dead-letter-office-a-tribute-to-r-e-m/,"Center Feb 20, 2026 7:30 PM Final Draft Upcoming Concerts: 1 City Winery - Pittsburgh Feb 20, 2026 7:30 PM Pittsburgh Symphony Orchestra Upcoming Concerts: 32 Heinz Hall Feb 20,  Center Feb 20, 2026 7:30 PM Final Draft…"
29,entity_location,What is the 'Scotty Saturday' tradition at Carnegie Mellon?,"A tradition where students prank call Scotty, the school's robot mascot, on its landline phone every Saturday night.",Scotty Saturday is not a documented tradition at Carnegie Mellon University based on the given context.,,,,baseline:b756f3f2e148023d34d947233ebfbde10b00c18c:c17,Carnegie Mellon University traditions - Wikipedia,en.wikipedia.org,,"as the Director For Life without the Possibility for Parole, started a new tradition within the band. Drawing inspiration from the critically acclaimed 1975 film, Monty Python and the Holy  as the Director For Life with…",www.cmu.edu:fe90b80125609e2276a06481416805091f405741:c0,Traditions | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/traditions,"[link]  At Carnegie Mellon University (CMU), traditions are more than just events — they're a celebration of our bold and collaborative community. Some commemorate the Scottish heritage of our founder, Andrew Carnegie,…",baseline:b756f3f2e148023d34d947233ebfbde10b00c18c:c5,Carnegie Mellon University traditions - Wikipedia,en.wikipedia.org,,"huge success, as has the tradition of painting the fence. The administration relented on their plans for removing the fence. In August 2008, the graduating class of 2008 at the  , who died in that year. Tradition dictat…"
